date,Major Incident Type,Incident Count
10/04/2013,False Alarm,19
10/04/2013,Hazardous Condition,22
10/04/2013,Investigation,9
10/04/2013,Medical/Rescue,70
10/04/2013,Public Service Assistance,8
11/04/2013,Hazardous Condition,18
11/04/2013,Investigation,7
11/04/2013,Medical/Rescue,68
11/04/2013,Public Service Assistance,4
12/04/2013,False Alarm,19
12/04/2013,Hazardous Condition,20
12/04/2013,Investigation,10
12/04/2013,Medical/Rescue,70
12/04/2013,Public Service Assistance,10
13/04/2013,False Alarm,29
13/04/2013,Fire,7
15/08/2010,Public Service Assistance,11
30/08/2010,False Alarm,23
03/10/2010,Medical/Rescue,52
18/10/2010,Fire,8
19/11/2010,Fire,2
28/11/2010,Public Service Assistance,7
06/12/2010,Fire,3
21/01/2011,Public Service Assistance,7
14/05/2011,Investigation,20
03/06/2011,Hazardous Condition,17
08/07/2011,Fire,20
30/07/2011,Investigation,19
25/08/2011,Hazardous Condition,12
07/09/2011,False Alarm,21
13/04/2013,Hazardous Condition,12
13/04/2013,Investigation,12
13/04/2013,Medical/Rescue,86
13/04/2013,Public Service Assistance,9
14/04/2013,False Alarm,17
14/04/2013,Fire,1
14/04/2013,Hazardous Condition,18
14/04/2013,Investigation,13
14/04/2013,Medical/Rescue,75
14/04/2013,Public Service Assistance,6
15/04/2013,Fire,2
15/04/2013,Hazardous Condition,18
15/04/2013,Medical/Rescue,48
15/04/2013,Public Service Assistance,4
15/04/2013,Severe Weather,1
16/04/2013,False Alarm,17
16/04/2013,Fire,6
16/04/2013,Hazardous Condition,15
16/04/2013,Investigation,7
16/04/2013,Medical/Rescue,75
16/04/2013,Public Service Assistance,2
17/04/2013,False Alarm,17
17/04/2013,Hazardous Condition,16
17/04/2013,Medical/Rescue,55
17/04/2013,Public Service Assistance,8
18/04/2013,False Alarm,20
18/04/2013,Hazardous Condition,19
18/04/2013,Investigation,9
18/04/2013,Medical/Rescue,81
18/04/2013,Public Service Assistance,2
19/04/2013,Hazardous Condition,15
19/04/2013,Medical/Rescue,82
19/04/2013,Public Service Assistance,8
16/09/2010,False Alarm,27
03/10/2010,Public Service Assistance,14
14/05/2011,Medical/Rescue,54
14/06/2011,Hazardous Condition,21
04/04/2013,Fire,12
20/04/2013,Hazardous Condition,10
20/04/2013,Investigation,13
20/04/2013,Medical/Rescue,58
20/04/2013,Public Service Assistance,5
21/04/2013,False Alarm,22
21/04/2013,Hazardous Condition,12
21/04/2013,Investigation,10
21/04/2013,Medical/Rescue,54
21/04/2013,Public Service Assistance,3
22/04/2013,False Alarm,19
22/04/2013,Hazardous Condition,15
22/04/2013,Investigation,9
22/04/2013,Medical/Rescue,70
22/04/2013,Public Service Assistance,8
23/04/2013,False Alarm,22
23/04/2013,Hazardous Condition,18
23/04/2013,Investigation,14
23/04/2013,Medical/Rescue,64
23/04/2013,Public Service Assistance,6
24/04/2013,False Alarm,23
24/04/2013,Hazardous Condition,20
24/04/2013,Investigation,4
24/04/2013,Medical/Rescue,61
24/04/2013,Public Service Assistance,10
25/04/2013,False Alarm,27
25/04/2013,Hazardous Condition,24
25/04/2013,Medical/Rescue,79
25/04/2013,Public Service Assistance,12
25/04/2013,Rupture/Explosion,1
26/04/2013,False Alarm,17
26/04/2013,Fire,15
26/04/2013,Hazardous Condition,23
26/04/2013,Investigation,25
26/04/2013,Medical/Rescue,82
26/04/2013,Public Service Assistance,13
27/04/2013,Hazardous Condition,32
27/04/2013,Investigation,28
27/04/2013,Medical/Rescue,64
27/04/2013,Public Service Assistance,22
28/04/2013,False Alarm,20
28/04/2013,Hazardous Condition,21
28/04/2013,Investigation,14
28/04/2013,Medical/Rescue,63
28/04/2013,Public Service Assistance,11
29/04/2013,False Alarm,18
29/04/2013,Hazardous Condition,22
29/04/2013,Investigation,13
29/04/2013,Medical/Rescue,77
29/04/2013,Public Service Assistance,3
30/04/2013,Fire,7
13/04/2010,Medical/Rescue,73
13/05/2010,Public Service Assistance,12
06/06/2010,Public Service Assistance,11
14/12/2010,Hazardous Condition,26
12/01/2011,Hazardous Condition,22
12/03/2011,Medical/Rescue,68
11/04/2011,Public Service Assistance,18
22/04/2011,False Alarm,19
14/05/2011,Public Service Assistance,18
03/06/2011,Investigation,10
08/07/2011,Hazardous Condition,25
24/04/2013,Fire,7
30/04/2013,Hazardous Condition,24
30/04/2013,Investigation,11
30/04/2013,Medical/Rescue,71
30/04/2013,Public Service Assistance,7
01/05/2013,False Alarm,28
01/05/2013,Hazardous Condition,29
01/05/2013,Investigation,14
01/05/2013,Medical/Rescue,69
01/05/2013,Public Service Assistance,14
02/05/2013,Hazardous Condition,29
02/05/2013,Investigation,10
02/05/2013,Medical/Rescue,95
02/05/2013,Public Service Assistance,13
03/05/2013,Hazardous Condition,18
03/05/2013,Investigation,9
03/05/2013,Medical/Rescue,75
03/05/2013,Public Service Assistance,12
04/05/2013,False Alarm,17
04/05/2013,Hazardous Condition,23
04/05/2013,Investigation,22
04/05/2013,Medical/Rescue,64
04/05/2013,Public Service Assistance,20
05/05/2013,False Alarm,17
05/05/2013,Fire,9
05/05/2013,Hazardous Condition,22
05/05/2013,Investigation,17
05/05/2013,Medical/Rescue,74
05/05/2013,Public Service Assistance,15
05/05/2013,Rupture/Explosion,1
06/05/2013,False Alarm,31
06/05/2013,Hazardous Condition,32
06/05/2013,Investigation,20
06/05/2013,Medical/Rescue,85
06/05/2013,Public Service Assistance,9
06/01/2010,Fire,6
14/05/2010,Fire,9
28/05/2010,Medical/Rescue,37
07/07/2010,Hazardous Condition,19
30/08/2010,Fire,4
04/10/2010,False Alarm,25
18/10/2010,Hazardous Condition,22
29/11/2010,Hazardous Condition,23
31/12/2010,Investigation,20
02/04/2011,Hazardous Condition,23
15/05/2011,Fire,4
08/07/2011,Investigation,18
12/08/2011,Medical/Rescue,66
07/05/2013,False Alarm,21
07/05/2013,Hazardous Condition,17
07/05/2013,Medical/Rescue,70
07/05/2013,Public Service Assistance,16
07/05/2013,Severe Weather,1
08/05/2013,False Alarm,15
08/05/2013,Hazardous Condition,23
08/05/2013,Investigation,11
08/05/2013,Medical/Rescue,61
08/05/2013,Public Service Assistance,10
09/05/2013,Hazardous Condition,27
09/05/2013,Investigation,9
09/05/2013,Medical/Rescue,83
09/05/2013,Public Service Assistance,13
09/05/2013,Rupture/Explosion,2
10/05/2013,False Alarm,22
10/05/2013,Fire,15
10/05/2013,Hazardous Condition,29
10/05/2013,Investigation,22
10/05/2013,Medical/Rescue,85
10/05/2013,Public Service Assistance,14
11/05/2013,False Alarm,16
11/05/2013,Hazardous Condition,23
11/05/2013,Investigation,34
11/05/2013,Medical/Rescue,80
11/05/2013,Public Service Assistance,35
12/05/2013,False Alarm,27
12/05/2013,Fire,12
12/05/2013,Hazardous Condition,16
12/05/2013,Investigation,15
12/05/2013,Medical/Rescue,72
12/05/2013,Public Service Assistance,81
13/05/2013,Fire,9
13/05/2013,Hazardous Condition,19
13/05/2013,Investigation,15
31/03/2010,Fire,9
28/05/2010,Public Service Assistance,6
07/06/2010,False Alarm,16
22/07/2010,Public Service Assistance,16
16/08/2010,False Alarm,12
04/10/2010,Fire,4
29/11/2010,Investigation,18
24/12/2010,Investigation,12
22/01/2011,False Alarm,20
12/02/2011,Investigation,10
22/03/2011,Hazardous Condition,23
05/05/2011,Hazardous Condition,27
13/05/2013,Medical/Rescue,92
13/05/2013,Public Service Assistance,29
14/05/2013,False Alarm,19
14/05/2013,Fire,4
14/05/2013,Hazardous Condition,20
14/05/2013,Investigation,11
14/05/2013,Medical/Rescue,63
14/05/2013,Public Service Assistance,28
15/05/2013,False Alarm,18
15/05/2013,Hazardous Condition,25
15/05/2013,Investigation,11
15/05/2013,Medical/Rescue,78
15/05/2013,Public Service Assistance,24
16/05/2013,False Alarm,22
16/05/2013,Fire,4
16/05/2013,Hazardous Condition,20
16/05/2013,Investigation,11
16/05/2013,Medical/Rescue,90
16/05/2013,Public Service Assistance,5
17/05/2013,Hazardous Condition,21
17/05/2013,Investigation,17
17/05/2013,Medical/Rescue,86
17/05/2013,Public Service Assistance,12
18/05/2013,False Alarm,16
18/05/2013,Hazardous Condition,22
18/05/2013,Investigation,22
18/05/2013,Medical/Rescue,102
18/05/2013,Public Service Assistance,19
18/05/2013,Rupture/Explosion,1
18/05/2013,Severe Weather,1
19/05/2013,False Alarm,12
19/05/2013,Hazardous Condition,15
19/05/2013,Investigation,14
19/05/2013,Medical/Rescue,81
19/05/2013,Public Service Assistance,11
19/05/2013,Severe Weather,1
06/01/2010,Hazardous Condition,35
06/08/2010,Rupture/Explosion,1
22/03/2011,Investigation,3
22/04/2011,Hazardous Condition,10
25/08/2011,Investigation,14
20/05/2013,False Alarm,18
20/05/2013,Hazardous Condition,8
20/05/2013,Investigation,16
20/05/2013,Medical/Rescue,70
20/05/2013,Public Service Assistance,23
21/05/2013,False Alarm,22
21/05/2013,Hazardous Condition,25
21/05/2013,Investigation,11
21/05/2013,Medical/Rescue,72
21/05/2013,Public Service Assistance,10
22/05/2013,Hazardous Condition,21
22/05/2013,Investigation,14
22/05/2013,Medical/Rescue,71
22/05/2013,Public Service Assistance,8
23/05/2013,Fire,3
23/05/2013,Hazardous Condition,26
23/05/2013,Investigation,13
23/05/2013,Medical/Rescue,75
23/05/2013,Public Service Assistance,7
24/05/2013,False Alarm,29
24/05/2013,Fire,5
24/05/2013,Hazardous Condition,24
24/05/2013,Investigation,8
24/05/2013,Medical/Rescue,71
24/05/2013,Public Service Assistance,21
25/05/2013,False Alarm,29
25/05/2013,Hazardous Condition,15
25/05/2013,Investigation,11
25/05/2013,Medical/Rescue,74
25/05/2013,Public Service Assistance,13
25/05/2013,Severe Weather,1
26/05/2013,False Alarm,21
26/05/2013,Hazardous Condition,23
26/05/2013,Investigation,9
26/05/2013,Medical/Rescue,68
26/05/2013,Public Service Assistance,15
27/05/2013,False Alarm,23
27/05/2013,Hazardous Condition,20
27/05/2013,Investigation,11
27/05/2013,Medical/Rescue,83
27/05/2013,Public Service Assistance,6
28/05/2013,False Alarm,20
28/05/2013,Hazardous Condition,25
28/05/2013,Investigation,11
28/05/2013,Medical/Rescue,92
28/05/2013,Public Service Assistance,12
29/05/2013,False Alarm,31
29/05/2013,Hazardous Condition,20
29/05/2013,Investigation,17
31/03/2010,Hazardous Condition,22
21/05/2010,Public Service Assistance,7
04/11/2010,Medical/Rescue,70
14/12/2010,Medical/Rescue,65
31/12/2010,Medical/Rescue,78
01/02/2011,Public Service Assistance,16
02/04/2011,Investigation,14
15/05/2011,Hazardous Condition,14
24/05/2011,Hazardous Condition,23
08/07/2011,Medical/Rescue,62
29/05/2013,Medical/Rescue,63
29/05/2013,Public Service Assistance,20
30/05/2013,False Alarm,29
30/05/2013,Hazardous Condition,27
30/05/2013,Investigation,10
30/05/2013,Medical/Rescue,71
30/05/2013,Public Service Assistance,7
31/05/2013,False Alarm,24
31/05/2013,Hazardous Condition,27
31/05/2013,Investigation,9
31/05/2013,Medical/Rescue,83
31/05/2013,Public Service Assistance,11
01/06/2013,Fire,9
01/06/2013,Hazardous Condition,19
01/06/2013,Investigation,15
01/06/2013,Medical/Rescue,84
01/06/2013,Public Service Assistance,18
02/06/2013,False Alarm,21
02/06/2013,Fire,7
02/06/2013,Hazardous Condition,15
02/06/2013,Investigation,5
02/06/2013,Medical/Rescue,65
02/06/2013,Public Service Assistance,6
03/06/2013,Hazardous Condition,24
03/06/2013,Investigation,9
03/06/2013,Medical/Rescue,69
03/06/2013,Public Service Assistance,8
04/06/2013,False Alarm,21
04/06/2013,Fire,5
04/06/2013,Hazardous Condition,38
04/06/2013,Investigation,12
04/06/2013,Medical/Rescue,74
04/06/2013,Public Service Assistance,10
05/06/2013,Hazardous Condition,23
05/06/2013,Investigation,12
05/06/2013,Medical/Rescue,84
05/06/2013,Public Service Assistance,13
06/06/2013,False Alarm,23
06/06/2013,Hazardous Condition,23
06/01/2010,Investigation,15
07/06/2010,Hazardous Condition,15
16/08/2010,Fire,3
26/10/2010,Rupture/Explosion,1
12/11/2010,Hazardous Condition,23
12/01/2011,Investigation,11
22/01/2011,Hazardous Condition,13
02/04/2011,Medical/Rescue,93
15/05/2011,Investigation,7
30/07/2011,Medical/Rescue,61
29/05/2013,Fire,7
06/06/2013,Investigation,11
06/06/2013,Medical/Rescue,73
06/06/2013,Public Service Assistance,9
07/06/2013,Hazardous Condition,27
07/06/2013,Investigation,13
07/06/2013,Medical/Rescue,89
07/06/2013,Public Service Assistance,20
07/06/2013,Rupture/Explosion,1
08/06/2013,False Alarm,14
08/06/2013,Investigation,13
08/06/2013,Medical/Rescue,89
08/06/2013,Public Service Assistance,8
09/06/2013,False Alarm,17
09/06/2013,Fire,6
09/06/2013,Hazardous Condition,13
09/06/2013,Investigation,10
09/06/2013,Medical/Rescue,82
09/06/2013,Public Service Assistance,14
09/06/2013,Severe Weather,1
10/06/2013,Hazardous Condition,17
10/06/2013,Investigation,18
10/06/2013,Medical/Rescue,71
10/06/2013,Public Service Assistance,9
11/06/2013,False Alarm,26
11/06/2013,Hazardous Condition,24
11/06/2013,Investigation,6
11/06/2013,Medical/Rescue,80
11/06/2013,Public Service Assistance,6
12/06/2013,False Alarm,15
12/06/2013,Hazardous Condition,22
12/06/2013,Medical/Rescue,79
12/06/2013,Public Service Assistance,9
12/06/2013,Rupture/Explosion,1
13/06/2013,Fire,3
13/06/2013,Hazardous Condition,23
13/06/2013,Investigation,8
13/06/2013,Public Service Assistance,6
14/06/2013,False Alarm,26
03/04/2010,Fire,9
14/05/2010,Hazardous Condition,32
07/07/2010,Investigation,20
30/07/2010,Hazardous Condition,23
07/08/2010,False Alarm,17
31/12/2010,Public Service Assistance,12
22/03/2011,Medical/Rescue,55
05/05/2011,Investigation,12
27/06/2011,Hazardous Condition,22
05/06/2013,False Alarm,22
14/06/2013,Hazardous Condition,28
14/06/2013,Investigation,11
14/06/2013,Medical/Rescue,65
14/06/2013,Public Service Assistance,3
15/06/2013,False Alarm,21
15/06/2013,Fire,4
15/06/2013,Hazardous Condition,29
15/06/2013,Investigation,9
15/06/2013,Medical/Rescue,82
15/06/2013,Public Service Assistance,19
16/06/2013,False Alarm,22
16/06/2013,Hazardous Condition,21
16/06/2013,Investigation,11
16/06/2013,Medical/Rescue,74
16/06/2013,Public Service Assistance,13
17/06/2013,False Alarm,22
17/06/2013,Fire,4
17/06/2013,Hazardous Condition,28
17/06/2013,Medical/Rescue,93
17/06/2013,Public Service Assistance,14
18/06/2013,False Alarm,31
18/06/2013,Hazardous Condition,19
18/06/2013,Investigation,9
18/06/2013,Medical/Rescue,83
18/06/2013,Public Service Assistance,12
18/06/2013,Severe Weather,1
19/06/2013,Fire,5
19/06/2013,Hazardous Condition,21
19/06/2013,Investigation,14
19/06/2013,Public Service Assistance,11
19/06/2013,Severe Weather,1
20/06/2013,Hazardous Condition,26
20/06/2013,Investigation,15
20/06/2013,Medical/Rescue,95
20/06/2013,Severe Weather,13
21/06/2013,False Alarm,99
21/06/2013,Hazardous Condition,37
21/06/2013,Investigation,40
21/06/2013,Medical/Rescue,175
21/06/2013,Public Service Assistance,75
13/04/2010,Public Service Assistance,6
07/08/2010,Fire,6
29/11/2010,Medical/Rescue,54
24/12/2010,Medical/Rescue,66
02/02/2011,False Alarm,28
25/08/2011,Medical/Rescue,66
14/06/2013,Fire,5
21/06/2013,Severe Weather,28
22/06/2013,False Alarm,42
22/06/2013,Hazardous Condition,32
22/06/2013,Medical/Rescue,109
22/06/2013,Public Service Assistance,30
22/06/2013,Rupture/Explosion,1
22/06/2013,Severe Weather,18
23/06/2013,False Alarm,20
23/06/2013,Hazardous Condition,20
23/06/2013,Investigation,20
23/06/2013,Public Service Assistance,28
23/06/2013,Severe Weather,1
24/06/2013,False Alarm,22
24/06/2013,Hazardous Condition,23
24/06/2013,Investigation,21
24/06/2013,Medical/Rescue,94
24/06/2013,Public Service Assistance,15
25/06/2013,False Alarm,40
25/06/2013,Hazardous Condition,28
25/06/2013,Investigation,19
25/06/2013,Medical/Rescue,86
25/06/2013,Public Service Assistance,12
25/06/2013,Rupture/Explosion,1
26/06/2013,False Alarm,25
26/06/2013,Fire,10
26/06/2013,Hazardous Condition,32
26/06/2013,Investigation,13
26/06/2013,Medical/Rescue,97
26/06/2013,Public Service Assistance,20
26/06/2013,Severe Weather,2
27/06/2013,Hazardous Condition,26
27/06/2013,Investigation,14
27/06/2013,Medical/Rescue,103
27/06/2013,Public Service Assistance,18
27/06/2013,Severe Weather,1
28/06/2013,False Alarm,24
28/06/2013,Fire,3
28/06/2013,Hazardous Condition,38
28/06/2013,Investigation,18
28/06/2013,Medical/Rescue,85
28/06/2013,Public Service Assistance,16
29/06/2013,Hazardous Condition,26
29/06/2013,Investigation,29
29/06/2013,Public Service Assistance,19
30/06/2013,Hazardous Condition,19
30/06/2013,Investigation,24
04/04/2010,False Alarm,17
30/04/2010,Investigation,12
21/05/2010,Rupture/Explosion,1
30/07/2010,Investigation,15
16/08/2010,Hazardous Condition,14
23/08/2010,False Alarm,27
02/02/2011,Fire,4
22/03/2011,Public Service Assistance,4
03/06/2011,Medical/Rescue,61
07/09/2011,Hazardous Condition,28
30/06/2013,Medical/Rescue,90
30/06/2013,Public Service Assistance,25
30/06/2013,Severe Weather,1
01/07/2013,Fire,3
01/07/2013,Hazardous Condition,11
01/07/2013,Investigation,16
01/07/2013,Medical/Rescue,78
01/07/2013,Public Service Assistance,16
01/07/2013,Severe Weather,2
02/07/2013,False Alarm,49
02/07/2013,Hazardous Condition,30
02/07/2013,Investigation,20
02/07/2013,Medical/Rescue,116
02/07/2013,Public Service Assistance,30
03/07/2013,False Alarm,28
03/07/2013,Hazardous Condition,31
03/07/2013,Investigation,9
03/07/2013,Medical/Rescue,101
03/07/2013,Public Service Assistance,11
04/07/2013,False Alarm,30
04/07/2013,Hazardous Condition,18
04/07/2013,Investigation,14
04/07/2013,Medical/Rescue,83
04/07/2013,Public Service Assistance,13
04/07/2013,Rupture/Explosion,1
04/07/2013,Severe Weather,1
05/07/2013,Hazardous Condition,30
05/07/2013,Investigation,15
05/07/2013,Medical/Rescue,71
05/07/2013,Public Service Assistance,16
05/07/2013,Severe Weather,12
06/07/2013,False Alarm,22
06/07/2013,Fire,5
06/07/2013,Hazardous Condition,28
06/07/2013,Investigation,14
06/07/2013,Medical/Rescue,84
06/07/2013,Public Service Assistance,17
07/07/2013,Fire,4
07/07/2013,Hazardous Condition,13
07/07/2013,Investigation,22
04/04/2010,Fire,8
04/04/2010,Hazardous Condition,8
14/04/2010,False Alarm,23
23/06/2010,Fire,6
07/07/2010,Medical/Rescue,69
16/08/2010,Investigation,20
23/08/2010,Fire,8
11/10/2010,False Alarm,33
19/11/2010,Hazardous Condition,33
22/04/2011,Investigation,12
03/06/2011,Public Service Assistance,11
01/07/2013,False Alarm,38
07/07/2013,Medical/Rescue,94
07/07/2013,Public Service Assistance,10
08/07/2013,False Alarm,27
08/07/2013,Hazardous Condition,22
08/07/2013,Investigation,11
08/07/2013,Medical/Rescue,74
08/07/2013,Public Service Assistance,7
09/07/2013,False Alarm,36
09/07/2013,Fire,9
09/07/2013,Hazardous Condition,23
09/07/2013,Investigation,21
09/07/2013,Medical/Rescue,97
09/07/2013,Public Service Assistance,15
10/07/2013,False Alarm,25
10/07/2013,Fire,10
10/07/2013,Hazardous Condition,34
10/07/2013,Investigation,13
10/07/2013,Medical/Rescue,88
10/07/2013,Public Service Assistance,12
11/07/2013,False Alarm,20
11/07/2013,Fire,3
11/07/2013,Hazardous Condition,30
11/07/2013,Investigation,12
11/07/2013,Medical/Rescue,90
11/07/2013,Public Service Assistance,15
12/07/2013,Hazardous Condition,27
12/07/2013,Investigation,15
12/07/2013,Medical/Rescue,84
12/07/2013,Public Service Assistance,12
13/07/2013,False Alarm,14
13/07/2013,Fire,3
13/07/2013,Hazardous Condition,20
13/07/2013,Investigation,19
13/07/2013,Medical/Rescue,82
13/07/2013,Public Service Assistance,16
14/07/2013,False Alarm,14
14/07/2013,Fire,4
04/04/2010,Investigation,5
22/05/2010,False Alarm,11
22/05/2010,Fire,6
16/06/2010,Investigation,8
30/06/2010,Hazardous Condition,17
30/07/2010,Medical/Rescue,48
10/09/2010,False Alarm,21
04/10/2010,Hazardous Condition,22
11/10/2010,Fire,3
19/11/2010,Investigation,18
12/01/2011,Medical/Rescue,53
12/02/2011,Medical/Rescue,67
12/03/2011,Public Service Assistance,5
05/05/2011,Medical/Rescue,46
07/09/2011,Medical/Rescue,57
14/07/2013,Hazardous Condition,15
14/07/2013,Investigation,8
14/07/2013,Medical/Rescue,84
14/07/2013,Public Service Assistance,17
15/07/2013,False Alarm,18
15/07/2013,Fire,4
15/07/2013,Hazardous Condition,32
15/07/2013,Public Service Assistance,8
16/07/2013,False Alarm,21
16/07/2013,Hazardous Condition,17
16/07/2013,Investigation,18
16/07/2013,Medical/Rescue,80
16/07/2013,Public Service Assistance,13
17/07/2013,False Alarm,23
17/07/2013,Investigation,15
17/07/2013,Medical/Rescue,82
17/07/2013,Public Service Assistance,18
18/07/2013,Hazardous Condition,24
18/07/2013,Investigation,12
18/07/2013,Medical/Rescue,96
18/07/2013,Public Service Assistance,18
19/07/2013,Hazardous Condition,41
19/07/2013,Investigation,23
19/07/2013,Medical/Rescue,82
19/07/2013,Public Service Assistance,19
20/07/2013,False Alarm,19
20/07/2013,Fire,5
20/07/2013,Hazardous Condition,24
20/07/2013,Investigation,20
20/07/2013,Medical/Rescue,79
30/06/2010,Investigation,11
23/08/2010,Hazardous Condition,17
18/10/2010,Investigation,16
12/11/2010,Investigation,17
19/11/2010,Medical/Rescue,69
24/12/2010,Public Service Assistance,10
22/04/2011,Medical/Rescue,63
24/05/2011,Investigation,9
08/07/2011,Public Service Assistance,15
12/07/2013,False Alarm,26
20/07/2013,Public Service Assistance,20
21/07/2013,False Alarm,19
21/07/2013,Fire,6
21/07/2013,Hazardous Condition,15
21/07/2013,Investigation,13
21/07/2013,Public Service Assistance,27
22/07/2013,False Alarm,41
22/07/2013,Fire,5
22/07/2013,Hazardous Condition,28
22/07/2013,Investigation,16
22/07/2013,Medical/Rescue,93
22/07/2013,Public Service Assistance,10
23/07/2013,Hazardous Condition,29
23/07/2013,Investigation,5
23/07/2013,Medical/Rescue,77
23/07/2013,Public Service Assistance,12
24/07/2013,False Alarm,30
24/07/2013,Hazardous Condition,26
24/07/2013,Medical/Rescue,63
24/07/2013,Public Service Assistance,13
25/07/2013,False Alarm,25
25/07/2013,Hazardous Condition,17
25/07/2013,Investigation,14
25/07/2013,Medical/Rescue,64
25/07/2013,Public Service Assistance,8
26/07/2013,False Alarm,26
26/07/2013,Hazardous Condition,26
26/07/2013,Investigation,13
26/07/2013,Medical/Rescue,100
26/07/2013,Public Service Assistance,20
27/07/2013,False Alarm,12
27/07/2013,Fire,4
27/07/2013,Hazardous Condition,27
27/07/2013,Investigation,21
27/07/2013,Medical/Rescue,78
27/07/2013,Public Service Assistance,20
27/07/2013,Severe Weather,1
28/07/2013,False Alarm,22
28/07/2013,Hazardous Condition,17
06/01/2010,Medical/Rescue,55
12/03/2010,Investigation,10
14/04/2010,Fire,7
23/07/2010,False Alarm,23
23/08/2010,Investigation,13
19/11/2010,Public Service Assistance,11
14/12/2010,Public Service Assistance,6
23/02/2011,Hazardous Condition,23
11/04/2011,Severe Weather,1
15/05/2011,Medical/Rescue,42
28/07/2013,Investigation,18
28/07/2013,Medical/Rescue,68
28/07/2013,Public Service Assistance,16
28/07/2013,Rupture/Explosion,1
29/07/2013,False Alarm,30
29/07/2013,Hazardous Condition,20
29/07/2013,Medical/Rescue,61
29/07/2013,Public Service Assistance,7
29/07/2013,Rupture/Explosion,1
30/07/2013,False Alarm,29
30/07/2013,Hazardous Condition,24
30/07/2013,Investigation,13
30/07/2013,Medical/Rescue,61
30/07/2013,Public Service Assistance,7
31/07/2013,False Alarm,30
31/07/2013,Hazardous Condition,26
31/07/2013,Investigation,14
31/07/2013,Medical/Rescue,76
31/07/2013,Public Service Assistance,18
01/08/2013,False Alarm,26
01/08/2013,Investigation,20
01/08/2013,Medical/Rescue,78
01/08/2013,Public Service Assistance,13
02/08/2013,False Alarm,24
02/08/2013,Fire,7
02/08/2013,Hazardous Condition,27
02/08/2013,Investigation,16
02/08/2013,Medical/Rescue,75
03/08/2013,False Alarm,16
03/08/2013,Hazardous Condition,15
03/08/2013,Investigation,11
03/08/2013,Medical/Rescue,73
03/08/2013,Public Service Assistance,13
04/08/2013,False Alarm,14
04/08/2013,Fire,4
04/08/2013,Hazardous Condition,12
04/08/2013,Medical/Rescue,80
04/08/2013,Public Service Assistance,15
05/08/2013,False Alarm,14
05/08/2013,Fire,4
12/03/2010,Medical/Rescue,45
10/09/2010,Fire,3
25/12/2010,False Alarm,25
12/02/2011,Public Service Assistance,13
05/05/2011,Public Service Assistance,17
05/08/2013,Hazardous Condition,12
05/08/2013,Investigation,12
05/08/2013,Medical/Rescue,75
05/08/2013,Public Service Assistance,17
06/08/2013,False Alarm,33
06/08/2013,Hazardous Condition,20
06/08/2013,Investigation,14
06/08/2013,Medical/Rescue,77
06/08/2013,Public Service Assistance,12
07/08/2013,Hazardous Condition,29
07/08/2013,Investigation,9
07/08/2013,Medical/Rescue,68
07/08/2013,Public Service Assistance,6
08/08/2013,False Alarm,35
08/08/2013,Hazardous Condition,17
08/08/2013,Investigation,13
08/08/2013,Medical/Rescue,74
08/08/2013,Public Service Assistance,9
09/08/2013,False Alarm,23
09/08/2013,Hazardous Condition,26
09/08/2013,Investigation,11
09/08/2013,Medical/Rescue,72
09/08/2013,Public Service Assistance,9
10/08/2013,False Alarm,20
10/08/2013,Fire,7
10/08/2013,Hazardous Condition,16
10/08/2013,Investigation,17
10/08/2013,Medical/Rescue,79
10/08/2013,Public Service Assistance,17
10/08/2013,Rupture/Explosion,1
11/08/2013,False Alarm,11
11/08/2013,Hazardous Condition,15
11/08/2013,Investigation,17
11/08/2013,Medical/Rescue,95
11/08/2013,Public Service Assistance,8
12/08/2013,False Alarm,28
12/08/2013,Hazardous Condition,22
12/08/2013,Investigation,14
12/08/2013,Public Service Assistance,10
13/08/2013,False Alarm,18
13/08/2013,Fire,4
13/08/2013,Hazardous Condition,21
13/08/2013,Investigation,21
13/08/2013,Medical/Rescue,79
13/08/2013,Public Service Assistance,10
14/08/2013,False Alarm,25
14/08/2013,Hazardous Condition,24
14/08/2013,Medical/Rescue,102
14/08/2013,Public Service Assistance,18
12/03/2010,Public Service Assistance,3
29/05/2010,False Alarm,25
15/12/2010,False Alarm,22
22/01/2011,Investigation,8
30/07/2011,Public Service Assistance,17
07/08/2013,False Alarm,23
15/08/2013,False Alarm,15
15/08/2013,Hazardous Condition,37
15/08/2013,Investigation,12
15/08/2013,Medical/Rescue,66
15/08/2013,Public Service Assistance,16
16/08/2013,Fire,3
16/08/2013,Hazardous Condition,24
16/08/2013,Investigation,21
16/08/2013,Medical/Rescue,88
16/08/2013,Public Service Assistance,13
17/08/2013,False Alarm,23
17/08/2013,Fire,10
17/08/2013,Hazardous Condition,25
17/08/2013,Medical/Rescue,80
17/08/2013,Public Service Assistance,17
18/08/2013,False Alarm,23
18/08/2013,Fire,6
18/08/2013,Hazardous Condition,19
18/08/2013,Investigation,19
18/08/2013,Medical/Rescue,92
19/08/2013,False Alarm,14
19/08/2013,Hazardous Condition,27
19/08/2013,Investigation,9
19/08/2013,Medical/Rescue,71
19/08/2013,Public Service Assistance,12
20/08/2013,Fire,5
20/08/2013,Hazardous Condition,20
20/08/2013,Investigation,11
20/08/2013,Medical/Rescue,64
20/08/2013,Public Service Assistance,8
21/08/2013,Hazardous Condition,21
21/08/2013,Investigation,16
21/08/2013,Medical/Rescue,96
