Asset Name,Asset ID,Asset Type,Operating Status,Pool Participant Name,Pool Participant ID
"EA1L EESA R#7","EA1L","Sink","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EA1P EESA Ret #10","EA1P","Sink","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EA1R EESA R#5","EA1R","Sink","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EA1U EESA R#4","EA1U","Sink","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EA1W EESA R#6","EA1W","Sink","Retired","EPCOR Energy Alberta GP Inc.","EESA"
"EA1X EESA R#2","EA1X","Sink","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EA3E E3SA Ret #1","EA3E","Sink","Active","EPCOR Energy Alberta GP Inc. (Default Supply)","E3SA"
"EA3P E3SA Ret #2","EA3P","Sink","Active","EPCOR Energy Alberta GP Inc. (Default Supply)","E3SA"
"EA3U E3SA Ret #3","EA3U","Sink","Active","EPCOR Energy Alberta GP Inc. (Default Supply)","E3SA"
"EA4A E4SA Ret #1","EA4A","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4C E4SA Ret #3","EA4C","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4E E4SA Ret #8","EA4E","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4F E4SA Ret #5","EA4F","Sink","Retired","Capital Power GP Holdings Inc.","E4SA"
"EA4L E4SA Ret #6","EA4L","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4P E4SA Ret #9","EA4P","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4R E4SA Ret #7","EA4R","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4U E4SA Ret #10","EA4U","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EA4W E4SA Ret #4","EA4W","Sink","Retired","Capital Power GP Holdings Inc.","E4SA"
"EA4X E4SA Ret #2","EA4X","Sink","Active","Capital Power GP Holdings Inc.","E4SA"
"EABC BC Import Unit","EABC","Source","Retired","ESBI Alberta Ltd.","EAL"
"EAGL Whitecourt Power","EAGL","Source","Active","Whitecourt Power Ltd.","ERPS"
"EAL LINE LOSS","EAL","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAL+ EAL FM Buy","EAL+","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAL- EAL FM Sell","EAL-","Source","Retired","ESBI Alberta Ltd.","EAL"
"EASK Inadvertant IMP to SPC","EASK","Source","Retired","ESBI Alberta Ltd.","EAL"
"EAX1 CRO EXP to BC","EAX1","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAX2 Emerg Assist Exp to BC","EAX2","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAX3 Op Res Oblig Exp to BC","EAX3","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAX4 Op Res Oblig Exp to BC","EAX4","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAX5 Inadvertent EXP to BC","EAX5","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAXA Emerg. Asst. EXP to SPC","EAXA","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EAXB Inadvertant EXP to SPC","EAXB","Sink","Retired","ESBI Alberta Ltd.","EAL"
"EB1U EBI SR#1","EB1U","Sink","Active","Enbridge Pipelines Inc.","EBI"
"EBI EBI Transmission Load","EBI","Sink","Active","Enbridge Pipelines Inc.","EBI"
"EBI+ EBI FM Buy","EBI+","Sink","Active","Enbridge Pipelines Inc.","EBI"
"EBI- EBI FM Sell","EBI-","Source","Active","Enbridge Pipelines Inc.","EBI"
"EBL1 ENERMARK - Bear Lake #1","EBL1","Source","Retired","Request Energy Inc.","REQI"
"EC01 Cavalier","EC01","Source","Active","ENMAX Cavalier LP","ENCV"
"EC02 EnCana #4","EC02","Source","Retired","EnCana Corporation","PCES"
"EC03 EnCana #3","EC03","Source","Retired","EnCana Corporation","PCES"
"EC04 EnCana Foster Creek","EC04","Source","Active","Cenovus Energy Inc.","ENC2"
"EC05 Standard","EC05","Source","Retired","EnCana Corporation","PCES"
"EC06 Hussar","EC06","Source","Retired","EnCana Corporation","PCES"
"EC1A EEC2 R#1","EC1A","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1C EEC2 R#3","EC1C","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1E EEC2 R#8","EC1E","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1F EEC2 R#5","EC1F","Sink","Retired","ENMAX Energy Corporation","EEC2"
"EC1L EEC2 R#6","EC1L","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1P EEC2 R#9","EC1P","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1R EEC2 R#7","EC1R","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1U EEC2 R#10","EC1U","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC1W EEC2 R#4","EC1W","Sink","Retired","ENMAX Energy Corporation","EEC2"
"EC1X EEC2 R#2","EC1X","Sink","Active","ENMAX Energy Corporation","EEC2"
"EC2A ECE2 Ret #1","EC2A","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2C ECE2 Ret #3","EC2C","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2E ECE2 Ret #7","EC2E","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2F ECE2 Ret #5","EC2F","Sink","Retired","ENMAX Energy Corporation","ECE2"
"EC2L ECE2 Ret #9","EC2L","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2P ECE2 Ret #10","EC2P","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2R ECE2 Ret #6","EC2R","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2U ECE2 Ret #8","EC2U","Sink","Active","ENMAX Energy Corporation","ECE2"
"EC2W ECE2 Ret #4","EC2W","Sink","Retired","ENMAX Energy Corporation","ECE2"
"EC2X ECE2 Ret #2","EC2X","Sink","Active","ENMAX Energy Corporation","ECE2"
"ECBC ENCR BC Import","ECBC","Source","Active","CP Energy Marketing L.P.","ENCR"
"ECH+ ECHI FM Buy","ECH+","Sink","Retired","Dynasty Power Inc.","ECHI"
"ECH- ECHI FM Sell","ECH-","Source","Retired","Dynasty Power Inc.","ECHI"
"ECMT ENCR MT Import","ECMT","Source","Active","CP Energy Marketing L.P.","ENCR"
"ECP+ ECPC FM Buy","ECP+","Sink","Retired","Enron Canada Power Corp","ECPC"
"ECP- ECPC FM Sell","ECP-","Source","Retired","Enron Canada Power Corp","ECPC"
"ECSK ENCR Sask Import Unit","ECSK","Source","Active","CP Energy Marketing L.P.","ENCR"
"ED1A EDLP R#2","ED1A","Sink","Retired","Enron Direct Canada Corp","EDCC"
"ED1E EDLP R#5","ED1E","Sink","Retired","Enron Direct Canada Corp","EDCC"
"ED1L EDLP R#7","ED1L","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"ED1P EDLP R#4","ED1P","Sink","Retired","Enron Direct Canada Corp","EDCC"
"ED1R EDLP R#6","ED1R","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"ED1U EDLP R#1","ED1U","Sink","Retired","Enron Direct Canada Corp","EDCC"
"ED1X EDLP R#3","ED1X","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"EDC1 Weather Dancer 1","EDC1","Source","Active","Piikani Resource Development Ltd.","PRD"
"EE02 EERL Gen #2","EE02","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE03 EERL Gen #3","EE03","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE04 EERL Gen #4","EE04","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE05 EERL Gen #5","EE05","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE06 EERL Gen #6","EE06","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE07 EERL Gen #7","EE07","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE08 EERL Gen #8","EE08","Source","Retired","Request Energy Inc.","REQI"
"EE09 EERL Gen #9","EE09","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE10 EERL Gen #10","EE10","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE11 EERL Gen #11","EE11","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE12 EERL Gen #12","EE12","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE13 EERL Gen #13","EE13","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE14 EERL Gen #14","EE14","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE15 EERL Gen #15","EE15","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE16 EERL Gen#16","EE16","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE17 EERL Gen #17","EE17","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE18 EERL Gen #18","EE18","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE19 EERL Gen #19","EE19","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EE1C EERR R#3","EE1C","Sink","Active","EPCOR Energy Alberta GP Inc. (RR)","EERR"
"EE1E EERR R#1","EE1E","Sink","Active","EPCOR Energy Alberta GP Inc. (RR)","EERR"
"EE1F EERR R#6","EE1F","Sink","Retired","EPCOR Energy Alberta GP Inc. (RR)","EERR"
"EE1P EERR R#5","EE1P","Sink","Active","EPCOR Energy Alberta GP Inc. (RR)","EERR"
"EE1U EERR R#2","EE1U","Sink","Active","EPCOR Energy Alberta GP Inc. (RR)","EERR"
"EE1W EERR R#4","EE1W","Sink","Retired","EPCOR Energy Alberta GP Inc. (RR)","EERR"
"EE2E EEC3 Ret #8","EE2E","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3A EEC3 Ret #2","EE3A","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3C EEC3 Ret #4","EE3C","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3F EEC3 Ret #5","EE3F","Sink","Retired","ENMAX Energy Corporation","EEC3"
"EE3L EEC3 Ret #9","EE3L","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3P EEC3 Ret #10","EE3P","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3R EEC3 Ret #6","EE3R","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3U EEC3 Ret #1","EE3U","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE3W EEC3 Ret #11","EE3W","Sink","Retired","ENMAX Commercial Energy Marketing Inc.","EEC3"
"EE3X EEC3 Ret #3","EE3X","Sink","Active","ENMAX Energy Corporation","EEC3"
"EE4A EEC4 Ret #2","EE4A","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4C EEC4 Ret #4","EE4C","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4E EEC4 Ret #8","EE4E","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4F EEC4 Ret #6","EE4F","Sink","Retired","Enmax Energy Corporation","EEC4"
"EE4L EEC4 Ret #10","EE4L","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4P EEC4 Ret #11","EE4P","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4R EEC4 Ret #7","EE4R","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4U EEC4 Ret #1","EE4U","Sink","Active","Enmax Energy Corporation","EEC4"
"EE4W EEC4 Ret #5","EE4W","Sink","Retired","Enmax Energy Corporation","EEC4"
"EE4X EEC4 Ret #3","EE4X","Sink","Active","Enmax Energy Corporation","EEC4"
"EE5E EEC4 Ret #9","EE5E","Sink","Active","Enmax Energy Corporation","EEC4"
"EE5U EEC5 Ret #1","EE5U","Sink","Retired","Enmax Energy Corporation","EEC5"
"EE6U EEC6 Ret #1","EE6U","Sink","Retired","Enmax Energy Corporation","EEC6"
"EE7A EEC7 Ret #1","EE7A","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7C EEC7 Ret #3","EE7C","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7E EEC7 Ret #7","EE7E","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7F EEC7 Ret #5","EE7F","Sink","Retired","ENMAX Energy Corporation","EEC7"
"EE7L EEC7 Ret #9","EE7L","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7P EEC7 Ret #10","EE7P","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7R EEC7 Ret #6","EE7R","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7U EEC7 Ret #8","EE7U","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE7W EEC7 Ret #4","EE7W","Sink","Retired","ENMAX Commercial Energy Marketing Inc.","EEC7"
"EE7X EEC7 Ret #2","EE7X","Sink","Active","ENMAX Energy Corporation","EEC7"
"EE9A EEC9 Ret #1","EE9A","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9C EEC9 Ret #3","EE9C","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9E EEC9 Ret #7","EE9E","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9F EEC9 Ret# 5","EE9F","Sink","Retired","Enmax Energy Corporation","EEC9"
"EE9L EEC9 Ret #9","EE9L","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9P EEC9 Ret #10","EE9P","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9R EEC9 Ret #6","EE9R","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9U EEC9 Ret #8","EE9U","Sink","Active","Enmax Energy Corporation","EEC9"
"EE9W EEC9 Ret #4","EE9W","Sink","Retired","Enmax Energy Corporation","EEC9"
"EE9X EEC9 Ret #2","EE9X","Sink","Active","Enmax Energy Corporation","EEC9"
"EEBC EEMI BC Import","EEBC","Source","Active","ENMAX Energy Marketing Inc.","EEMI"
"EEC TC LOAD","EEC","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC+ EEC FM Buy","EEC+","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC- EEC FM Sell","EEC-","Source","Active","ENMAX Energy Corporation","EEC"
"EEC0 Z-2501 Enmax Energy","EEC0","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC1 Z-1 Enmax Energy","EEC1","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC2 Z-1501 Enmax Energy","EEC2","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC3 Z-501 Enmax Energy","EEC3","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC4 Z-1001 Enmax Energy","EEC4","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC5 Z-2201 Enmax Energy","EEC5","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC6 Z-2001 Enmax Energy","EEC6","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC7 Z-2401 Enmax Energy","EEC7","Sink","Retired","ENMAX Energy Corporation","EEC"
"EEC8 Z-2301 Enmax Energy","EEC8","Sink","Active","ENMAX Energy Corporation","EEC"
"EEC9 Z-2101 Enmax Energy","EEC9","Sink","Retired","ENMAX Energy Corporation","EEC"
"EEM- EEMI FM Sell","EEM-","Source","Active","ENMAX Energy Marketing Inc.","EEMI"
"EEMT EEMI MT Import","EEMT","Source","Active","ENMAX Energy Marketing Inc.","EEMI"
"EER1 EERL Gen#1","EER1","Source","Retired","Efficient Energy Resources Ltd","EERL"
"EES+ EES FM BUY","EES+","Sink","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EES- EES FM Sell","EES-","Source","Active","EPCOR Energy Alberta GP Inc.","EESA"
"EES0 Z-2501 EPCOR","EES0","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES1 Z-1 EPCOR Energy Services","EES1","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES2 Z-1501 EPCOR","EES2","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES3 Z-501 EPCOR","EES3","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES4 Z-1001 EPCOR","EES4","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES5 Z-2201 EPCOR","EES5","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES6 Z-2001 EPCOR","EES6","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES7 Z-2401 EPCOR","EES7","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES8 Z-2301 EPCOR","EES8","Sink","Retired","EPCOR Energy Inc.","EESI"
"EES9 Z-2101 EPCOR","EES9","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESA Z-1002 EPCOR","EESA","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESB Z-1003 EPCOR","EESB","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESC Z-1004 EPCOR","EESC","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESD Z-1005 EPCOR","EESD","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESF Z-1006 EPCOR","EESF","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESG Z-1007 EPCOR","EESG","Sink","Retired","EPCOR Energy Inc.","EESI"
"EESK EEMI Sask Import","EESK","Source","Active","ENMAX Energy Marketing Inc.","EEMI"
"EEXB EEMI BC Export","EEXB","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EEXM EEMI MT Export","EEXM","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EEXS EEMI Sask Export","EEXS","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EGBC EGLE Import BC","EGBC","Source","Active","EDF Trading North America, LLC","EGLE"
"EGC1 Shepard","EGC1","Source","Active","Enmax Shepard Services Inc.","EGCP"
"EGCP TC LOAD","EGCP","Sink","Active","Enmax Shepard Services Inc.","EGCP"
"EGL TC Load","EGL","Sink","Retired","EnCana Genco Ltd.","EGL"
"EGMT EGLE MT Import","EGMT","Source","Active","EDF Trading North America, LLC","EGLE"
"EGP1 NDP","EGP1","Source","Inactive","NDP","NDP"
"EGP2 NDP","EGP2","Source","Inactive","NDP","NDP"
"EGPI  EGPI TC Load","EGPI","Sink","Active","ENMAX Generation Portfolio Inc.","EGPI"
"EGXB EGLE Export BC","EGXB","Sink","Active","EDF Trading North America, LLC","EGLE"
"EGXM EGLE MT Export","EGXM","Sink","Active","EDF Trading North America, LLC","EGLE"
"EI1U EID SR1","EI1U","Sink","Retired","Eastern Irrigation District","EID"
"EK1A EKKO Retail #1","EK1A","Sink","Active","Ekkobe Inc.","EKKO"
"EK1C EKKO Retail #7","EK1C","Sink","Active","Ekkobe Inc.","EKKO"
"EK1E EKKO Retail #4","EK1E","Sink","Active","Ekkobe Inc.","EKKO"
"EK1L EKKO Retail #3","EK1L","Sink","Active","Ekkobe Inc.","EKKO"
"EK1P EKKO Retail #9","EK1P","Sink","Active","Ekkobe Inc.","EKKO"
"EK1R EKKO Retail #8","EK1R","Sink","Active","Ekkobe Inc.","EKKO"
"EK1U EKKO Retail #2","EK1U","Sink","Active","Ekkobe Inc.","EKKO"
"EK1X EKKO Retail #6","EK1X","Sink","Active","Ekkobe Inc.","EKKO"
"EK2E EKKO Retail #5","EK2E","Sink","Active","Ekkobe Inc.","EKKO"
"EL1U EDLP R#2","EL1U","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"ELBC El Paso BC Import Unit","ELBC","Source","Retired","El Paso Merchant Energy, L.P.","EPME"
"ELG1 ELP Generator","ELG1","Source","Retired","Eliason Power","ELP"
"ELM+ EPME FM Buy","ELM+","Sink","Retired","El Paso Merchant Energy, L.P.","EPME"
"ELM- EPME FM Sell","ELM-","Source","Retired","El Paso Merchant Energy, L.P.","EPME"
"ELSK El Paso Sask Import Unit","ELSK","Source","Retired","El Paso Merchant Energy, L.P.","EPME"
"ELXB EPME BCH Export Unit","ELXB","Sink","Retired","El Paso Merchant Energy, L.P.","EPME"
"ELXS EPME Sask Export Unit","ELXS","Sink","Retired","El Paso Merchant Energy, L.P.","EPME"
"EM1A EEMI R#2","EM1A","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EM1E EEMI R#4","EM1E","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EM1U EEMI R#1","EM1U","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EM1X EEMI R#3","EM1X","Sink","Active","ENMAX Energy Marketing Inc.","EEMI"
"EM2A EMC2 Ret #1","EM2A","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2C EMC2 Ret #3","EM2C","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2E EMC2 Ret #6","EM2E","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2F EMC2 Ret #9","EM2F","Sink","Retired","CP Energy Marketing L.P.","EMC2"
"EM2L EMC2 Ret #4","EM2L","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2P EMC2 Ret #10","EM2P","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2R EMC2 Ret #5","EM2R","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2U EMC2 Ret #7","EM2U","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM2W EMC2 Ret #8","EM2W","Sink","Retired","CP Energy Marketing L.P.","EMC2"
"EM2X EMC2 Ret #2","EM2X","Sink","Active","CP Energy Marketing L.P.","EMC2"
"EM3A EML3 Ret #1","EM3A","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3C EML3 Ret #10","EM3C","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3E EML3 Ret #6","EM3E","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3F EML3 Ret #3","EM3F","Sink","Retired","Capital Power GP Holdings Inc.","EML3"
"EM3L EML3 Ret #4","EM3L","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3P EML3 Ret #8","EM3P","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3R EML3 Ret #5","EM3R","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3U EML3 Ret #9","EM3U","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EM3W EML3 Ret #11","EM3W","Sink","Retired","Capital Power GP Holdings Inc.","EML3"
"EM3X EML3 Ret #2","EM3X","Sink","Active","Capital Power GP Holdings Inc.","EML3"
"EMXB ENCR BC Export","EMXB","Sink","Active","CP Energy Marketing L.P.","ENCR"
"EMXM ENCR MT Export","EMXM","Sink","Active","CP Energy Marketing L.P.","ENCR"
"EMXS ENCR SK Export","EMXS","Sink","Active","CP Energy Marketing L.P.","ENCR"
"EN1A EDLP R#1","EN1A","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"EN1E EDLP R#4","EN1E","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"EN1L EDCC R#6","EN1L","Sink","Retired","Enron Direct Canada Corp","EDCC"
"EN1P EDLP R#5","EN1P","Sink","Retired","Enron Direct Ltd Partnership","EDLP"
"EN1R EDCC R#7","EN1R","Sink","Retired","Enron Direct Canada Corp","EDCC"
"EN1U ENR SR#1","EN1U","Sink","Retired","Enron Canada Corporation","ENR"
"EN1X EDCC R#3","EN1X","Sink","Retired","Enron Direct Canada Corp","EDCC"
"EN2A ENC2 SR#1","EN2A","Sink","Active","Cenovus Energy Inc.","ENC2"
"EN2U ENC2 SR#2","EN2U","Sink","Active","Cenovus Energy Inc.","ENC2"
"EN3A ECC3 SR #2","EN3A","Sink","Retired","Cenovus Energy Inc.","ECC3"
"EN3U ECC3 SR #1","EN3U","Sink","Retired","Cenovus Energy Inc.","ECC3"
"ENBC BC Import Unit","ENBC","Source","Retired","Enron Canada Corporation","ENR"
"ENC TC Load","ENC","Sink","Active","Cenovus Energy Inc.","ENC2"
"ENC+ ENCR FM Buy","ENC+","Sink","Active","CP Energy Marketing L.P.","ENCR"
"ENC- ENCR FM Sell","ENC-","Source","Active","CP Energy Marketing L.P.","ENCR"
"ENC1 Cloverbar #1","ENC1","Source","Active","Capital Power (CBEC) L.P.","ECLP"
"ENC2 Cloverbar #2","ENC2","Source","Active","Capital Power (CBEC) L.P.","ECLP"
"ENC3 Cloverbar #3","ENC3","Source","Active","Capital Power (CBEC) L.P.","ECLP"
"ENCE ENOR SUPL","ENCE","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENCG ENOR SUPL","ENCG","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENCR ENCR TC Load","ENCR","Sink","Active","CP Energy Marketing L.P.","ENCR"
"ENCV TC LOAD","ENCV","Sink","Active","ENMAX Cavalier LP","ENCV"
"ENCW ENOR SUPL","ENCW","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENE1 ENRON BCH Export","ENE1","Sink","Retired","Enron Canada Corporation","ENR"
"ENE2 ENRON SPC Export","ENE2","Sink","Retired","Enron Canada Corporation","ENR"
"ENE4 ENR BCH Export","ENE4","Sink","Retired","Enron Canada Corporation","ENR"
"ENE5 ENR BCH Export","ENE5","Sink","Retired","Enron Canada Corporation","ENR"
"ENE6 ENR BCH Export","ENE6","Sink","Retired","Enron Canada Corporation","ENR"
"ENE7 ENR BCH Export","ENE7","Sink","Retired","Enron Canada Corporation","ENR"
"ENEA ENR BCH Export","ENEA","Sink","Retired","Enron Canada Corporation","ENR"
"ENEB ENR BCH Export","ENEB","Sink","Retired","Enron Canada Corporation","ENR"
"ENFS ENOR SUPL","ENFS","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENG+ ENGA FM Buy","ENG+","Sink","Retired","Engage Energy Canada, L.P.","ENGA"
"ENG- ENGA FM Sell","ENG-","Source","Retired","Engage Energy Canada, L.P.","ENGA"
"ENG1 EPS Hughenden","ENG1","Source","Retired","Enerplus Resources","EPS"
"ENNE ENOR SUPL","ENNE","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENNW ENOR SUPL","ENNW","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENOC LSSi","ENOC","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENOL ENOR SUPL","ENOL","Sink","Active","Enel X Canada Ltd.","ENOR"
"ENR Export to BCH","ENE0","Sink","Retired","Enron Canada Corporation","ENR"
"ENR Export to BCH","ENE8","Sink","Retired","Enron Canada Corporation","ENR"
"ENR Export to BCH","ENE9","Sink","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI0","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI1","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI2","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI3","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI4","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI5","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI6","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI7","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI8","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from BCH","ENI9","Source","Retired","Enron Canada Corporation","ENR"
"ENR Import from SPC","ENIA","Source","Retired","Enron Canada Corporation","ENR"
"ENR+ ENR FM Buy","ENR+","Sink","Retired","Enron Canada Corporation","ENR"
"ENR- ENR FM Sell","ENR-","Source","Retired","Enron Canada Corporation","ENR"
"ENSK Sask Import Unit","ENSK","Source","Retired","Enron Canada Corporation","ENR"
"ENST ENOR SUPL","ENST","Sink","Active","Enel X Canada Ltd.","ENOR"
"EOL1 Erin Olsen","EOL1","Source","Retired","Erin Olsen","EOLS"
"EP Export #1 on BCH tie","EPEX","Sink","Retired","EPCOR Energy Services Inc.","EP"
"EP Export on BCH Tie","EPX2","Sink","Retired","EPCOR Energy Services Inc.","EP"
"EP Export on BCH Tie","EPX3","Sink","Retired","EPCOR Energy Services Inc.","EP"
"EP Export on BCH Tie","EPX4","Sink","Retired","EPCOR Energy Services Inc.","EP"
"EP Export on BCH Tie","EPX5","Sink","Retired","EPCOR Energy Services Inc.","EP"
